metallicity,common_alpha,sigma_bh,sigma_sn
0.01181,9.83741,3.6778,683.83943
0.00862,3.06052,499.46906,67.80651
0.01435,3.49283,211.56882,97.6741
0.00766,6.59748,218.02989,940.27429
0.02833,6.499,12.10939,991.76459
0.02346,9.3439,77.47812,560.82084
0.00474,0.27534,930.89864,266.18344
0.00451,2.92687,583.05712,375.94925
0.00917,2.02589,623.158,190.10706
0.02199,9.91547,568.34291,2.92687
0.02954,8.4247,137.1334,896.77158
0.02343,1.19586,347.85539,149.52803
0.01643,0.55796,188.97512,154.73913
0.00873,1.67606,223.24812,659.24663
0.01475,6.20653,88.24961,786.89553
0.0035,4.45942,83.43874,437.00149
0.00969,2.05383,799.93691,17.79301
0.01004,7.13849,511.49934,316.6028
0.01349,9.80859,482.73178,977.68501
0.00757,5.99188,483.3015,481.88674
0.00937,6.92026,233.78097,425.64541
0.02132,1.22276,837.47067,37.35703
0.02837,5.85204,919.19016,995.50936
0.02214,0.58669,725.75036,383.29714
0.00998,8.59868,606.12165,559.98992
0.00055,2.12427,590.45806,759.83588
0.01119,5.80318,791.29269,395.16664
0.00388,8.26967,398.57585,520.89031
0.0185,3.08054,489.44779,334.48038
0.01024,2.46958,311.55614,388.77383
0.0122,2.44797,544.29448,550.43416
0.02598,4.03003,748.57865,75.08578
0.01684,0.73495,465.19501,145.02557
0.02062,7.55207,439.41981,382.07548
0.01564,3.51091,264.32941,932.3979
0.005,6.874,383.40518,524.90231
0.00485,9.87046,847.59787,548.41007
0.01672,7.99162,287.27007,122.03512
0.02282,3.73192,846.2103,552.47476
0.00691,8.86749,55.71251,908.5099
0.00029,6.78713,828.55783,109.48203
0.01151,8.24581,276.68522,982.68893
0.02195,6.06454,656.47558,763.60208
0.02892,7.54691,195.78376,314.66406
0.01083,6.62248,378.95544,62.98832
0.01966,0.7639,145.59195,655.12393
0.02593,1.31579,40.81704,227.32039
0.02422,8.22472,443.65114,296.5915
0.01252,3.56429,853.63438,422.07967
0.01469,9.03311,905.87733,640.38998
0.02948,8.78653,518.47798,921.34771
0.00552,9.2415,326.38951,415.67654
0.00169,4.09164,433.46472,581.60438
0.00862,3.35709,64.30097,792.40362
0.00378,6.91548,887.92426,19.27315
0.01293,0.41882,890.31145,757.58265
0.00585,4.36402,437.53498,14.90205
0.02777,1.95177,20.70636,223.21023
0.00015,0.48928,9.53225,841.82819
0.02621,8.99613,794.79579,284.76758
0.0189,9.77134,645.68787,189.56868
0.02517,2.72109,358.81245,257.1367
0.01201,8.33865,247.0365,86.78215
0.01799,6.64215,158.10932,434.64957
0.02572,5.23712,574.7021,796.32766
0.00715,0.12113,836.63573,214.89397
0.02414,0.21412,169.18207,410.45061
0.01925,7.64093,488.65023,558.19908
0.01205,7.31245,934.32952,44.72186
0.01246,5.29259,42.29898,575.94428
0.01071,3.09761,149.73987,858.04584
0.02795,3.37202,63.04686,490.81732
0.0252,9.22739,37.18829,496.854
0.02617,5.09548,768.03182,43.82826
0.02412,1.94029,290.66349,56.35969
0.02334,6.69531,759.83254,973.47922
0.00136,2.70533,899.35146,672.83586
0.0273,2.3158,757.5572,430.07641
0.01317,1.8518,219.64137,298.40436
0.02653,7.50893,820.28777,65.572
0.00154,6.29616,461.36493,662.20911
0.02106,0.52162,163.11078,4.05967
0.01777,9.06876,964.35673,750.79103
0.00985,0.1766,600.47914,663.03072
0.00542,4.69998,659.31747,134.7195
0.0002,3.84488,577.34431,144.58286
0.00042,4.26421,704.48524,698.58138
0.00925,5.17372,715.07906,882.68815
0.00732,8.66112,720.99757,544.19247
0.00469,4.98706,105.25062,755.41558
0.00368,6.32193,582.13876,660.50073
0.00508,1.08929,745.37899,638.59371
0.02863,3.43174,295.97841,378.10542
0.01544,4.68267,888.03179,245.14606
0.02663,0.96836,410.86231,804.56262
0.01286,5.81974,376.288,239.48872
0.01054,5.38577,830.98478,734.89469
0.00931,4.77143,321.72659,676.02092
0.02097,3.04632,220.74248,633.25302
0.01132,5.59738,578.332,839.10516
0.0179,3.44447,741.90409,167.46666
0.00062,4.89352,869.5842,240.17902
0.02639,0.65352,446.90319,335.64797
0.01781,3.13094,689.46318,117.49623
0.00024,0.82916,908.12858,160.88616
0.02697,4.49829,983.71114,484.93211
0.01628,6.9549,567.46114,561.65889
0.00557,1.83091,614.9241,505.81067
0.0064,0.93872,690.83453,200.24596
0.02354,8.70194,721.63345,609.88756
0.00926,6.34223,666.84395,111.57266
0.00882,9.5692,702.25354,23.50415
0.01919,7.15356,412.97573,819.40357
0.00027,8.98814,128.63866,119.4077
0.01814,8.36133,494.06077,626.2774
0.01101,4.24878,617.95114,532.27449
0.02047,2.01557,234.54176,271.61919
0.00456,8.65083,651.49294,313.49457
0.014,4.97074,273.63329,371.54773
0.00678,5.06734,275.98208,993.21905
0.01621,5.33858,675.45817,118.36228
0.01244,2.03823,660.97157,303.68978
0.01604,2.80715,95.91218,667.56195
0.02027,0.74171,10.4849,919.36911
0.02659,7.34862,609.21031,788.66188
0.01281,4.96807,901.47565,620.7038
0.00827,2.85887,123.8269,564.94792
0.02089,9.44716,244.96054,174.29877
0.00424,5.5136,472.87945,997.53257
0.02999,2.73486,389.97672,511.40619
0.00432,7.43798,337.55937,128.30688
0.01006,6.36938,701.01667,918.74576
0.00666,9.3689,118.95211,407.29014
0.01837,7.80734,14.25478,440.53401
0.01977,0.15534,851.16212,217.61415
0.02237,3.34772,730.77269,80.56296
0.00856,4.84011,288.25446,323.24213
0.02569,4.28127,641.72123,462.81315
0.02699,6.03254,143.10439,203.96199
0.02468,2.63676,877.31839,116.09915
0.01408,7.63745,572.15051,326.44399
0.01691,9.2845,513.65316,827.92911
0.02475,8.43953,949.59379,13.81824
0.00258,9.70105,638.48661,666.09814
0.02975,1.48667,613.10626,58.61735
0.01512,6.86737,189.98742,15.29278
0.02243,4.9124,204.43957,92.48527
0.02369,3.40659,860.17075,450.73305
0.01673,5.41825,821.98305,675.35792
0.00097,9.86339,933.446,467.09157
0.02098,2.93699,243.16506,162.39953
0.02647,1.35943,743.85714,180.78196
0.00442,0.04551,82.01075,305.92767
0.00655,3.02165,957.58737,251.16127
0.01755,5.9709,735.6624,469.07064
0.00091,6.61606,866.10826,177.01111
0.00868,1.1091,896.53594,339.29876
0.01461,0.64204,272.22926,252.93777
0.00292,5.90642,989.59384,427.83887
0.02995,0.31639,863.04371,798.10679
0.00524,9.65809,562.06364,974.8821
0.01894,0.98926,7.05582,120.45864
0.02839,3.19379,563.71747,386.74357
0.02366,4.39923,506.45083,946.1143
0.00885,7.20986,599.74195,702.01939
0.00354,2.81923,328.51712,262.34572
0.00957,3.82415,384.55067,686.42231
0.00304,8.19083,444.21229,837.60679
0.00225,6.44566,780.9112,436.98363
0.01127,0.33514,86.23646,508.09795
0.00911,8.3799,520.69754,771.84267
0.0063,2.49901,772.12999,87.29751
0.02139,9.13797,913.14592,218.46891
0.02984,8.28329,30.59113,800.78422
0.01589,9.1528,517.93349,359.51844
0.00992,3.39709,962.44359,789.73188
0.02433,0.14454,38.53283,939.08912
0.01484,7.86816,708.42395,836.30553
0.01836,8.88194,668.42669,414.77765
0.00568,1.21098,75.80265,910.2114
0.01197,6.8107,430.61589,105.97203
0.02626,7.3967,787.89886,291.40646
0.02581,9.2319,573.75868,920.98276
0.01237,7.42328,62.90287,592.26136
0.00375,8.53409,458.98207,860.55879
0.00938,5.21811,396.72755,648.957
0.00411,6.19331,142.90902,443.5288
0.0023,2.99057,963.71627,784.4367
0.00348,7.89984,810.69347,234.27675
0.0074,2.43785,395.08558,416.96171
0.00952,0.71442,501.1829,806.55876
0.01217,4.7998,161.36597,331.95025
0.02941,6.14642,619.62528,169.35696
0.00431,1.74546,928.39296,799.21333
0.022,8.30609,114.45779,669.81352
0.00913,9.05439,548.33118,140.21373
0.02016,3.74618,318.6746,409.76206
0.02056,6.3979,542.77076,955.70049
0.01917,0.69975,971.17865,528.18362
0.00536,3.33544,883.47115,488.08463
0.02928,6.37855,605.55935,622.32168
0.0176,9.47083,69.96635,358.05212
0.01495,0.62727,620.9671,539.83001
0.02124,0.50132,555.37496,523.93364
0.02393,6.356,661.51263,909.5521
0.00771,2.34277,26.38106,533.41448
0.02748,9.48397,222.42697,828.94126
0.02561,0.67677,733.1564,247.26574
0.02962,5.82666,695.85592,670.65413
0.02381,3.83462,881.70901,661.41805
0.02866,0.84485,959.4265,110.98609
0.01341,4.92769,615.99638,1.54142
0.01413,2.59676,460.11327,598.08866
0.00606,4.94992,940.22173,976.69763
0.00842,4.06757,181.75048,541.96672
0.02757,2.14441,468.15997,519.18385
0.01345,3.25195,39.68444,113.66826
0.01099,7.3034,427.03348,45.11979
0.00673,0.68654,636.85463,74.67286
0.00767,4.55001,681.89997,851.69764
0.02233,1.11672,210.68015,814.19798
0.02956,8.40444,293.44389,165.01335
0.02466,5.47767,121.21238,507.12742
0.01185,6.50203,554.34927,984.89828
0.01401,1.07078,151.5904,972.82872
0.02085,7.53095,102.93976,237.9806
0.02382,1.63281,938.10864,233.56567
0.01549,6.67349,965.06637,580.28786
0.02726,5.79136,852.83527,928.79723
0.01015,9.07746,512.76706,531.7967
0.01521,5.42629,829.4855,452.1909
0.00467,6.65864,157.58904,534.63303
0.02966,8.9215,802.97481,273.13048
0.01743,6.01617,381.66845,880.82938
0.01265,9.54988,677.98278,479.62929
0.02789,5.01679,925.97396,208.85296
0.00239,7.19575,53.35196,964.51701
0.02513,0.95863,138.48976,680.83578
0.0007,5.36444,476.55702,228.93731
0.01501,0.90947,800.98362,753.28386
0.01915,9.81414,825.07024,599.05047
0.01114,7.22333,872.7966,923.01231
0.0158,2.08024,361.91425,423.08706
0.00149,6.98618,560.12405,614.26553
0.0005,6.725,190.55648,576.43369
0.01234,9.63808,819.93182,55.1396
0.0053,8.5178,96.3627,572.46884
0.01437,7.11587,766.8969,696.98443
0.0274,7.68118,634.86426,421.39747
0.00202,7.82619,60.49649,235.23905
0.02004,4.65705,423.40533,791.01936
0.01049,2.56459,431.96571,197.94194
0.01853,0.94731,227.41864,275.4632
0.00601,2.30187,380.17468,578.13203
0.01884,4.61346,320.12119,241.2337
0.02772,3.28126,532.88073,728.9525
0.00462,3.98321,225.67912,281.05318
0.01566,8.21596,849.44292,567.22234
0.0246,4.52654,368.8587,70.6726
0.02206,5.98519,875.62771,353.60412
0.02902,2.86872,486.16736,57.07643
0.00505,5.69639,455.5398,745.84503
0.00102,5.45868,991.95299,805.65634
0.00392,5.31259,758.64805,679.50475
0.01042,5.15291,826.68601,211.66493
0.00365,6.3068,911.3016,454.78635
0.023,3.46582,112.16498,549.97435
0.01942,4.8566,303.62811,419.11067
0.02045,8.31881,932.31552,308.83353
0.01168,2.19783,832.08623,948.02814
0.01192,9.41342,903.91671,139.20816
0.02812,4.10948,449.1702,7.97165
0.01768,7.45428,657.76873,286.03364
0.00719,9.73143,910.47547,360.0666
0.01108,5.64993,926.99543,212.31256
0.01359,2.61987,93.56057,521.09455
0.00016,4.3885,11.58986,8.01289
0.00313,6.57813,240.41061,546.75496
0.01027,1.72838,50.3395,408.37501
0.01939,1.39356,662.57398,327.91036
0.00577,7.03562,951.14598,294.05219
0.00852,3.78604,968.30675,988.87446
0.00996,4.44735,493.16213,889.07058
0.02208,8.18263,282.0367,963.26426
0.00261,7.40004,958.34864,374.35763
0.02108,4.25285,643.87693,553.549
0.02042,6.63325,122.06061,142.15177
0.01525,8.62667,478.99293,141.04907
0.01986,7.0248,773.62304,336.29928
0.01465,3.64717,995.46432,362.26177
0.00803,3.60037,495.27497,762.84094
0.02402,1.28745,935.163,22.68336
0.01455,1.82612,28.76354,606.01867
0.0098,3.97795,808.04494,193.55133
0.01273,0.34542,230.75091,363.15755
0.00906,0.2615,278.0878,603.63727
0.01379,2.67776,135.61886,447.15896
0.00887,1.91545,103.94537,156.78943
0.02463,3.9393,856.34644,834.54014
0.02397,8.0047,553.11577,196.1041
0.0149,8.46022,405.33834,229.85933
0.02305,6.79696,798.90881,0.77115
0.01406,6.42787,966.77505,499.24596
0.00179,4.78045,954.87445,957.74218
0.01079,4.58326,462.78159,487.32583
0.02883,1.97369,797.80083,473.02554
0.02001,4.18875,24.67258,657.48854
0.01087,2.84749,438.45764,268.11707
0.00082,5.18025,686.75622,306.54424
0.02187,1.62573,990.1361,770.93326
0.0248,6.74223,106.8093,848.43499
0.00119,7.47422,727.34662,944.57463
0.0265,0.83927,255.14768,16.78046
0.0114,1.41063,466.41839,35.98547
0.01122,3.75956,31.97336,693.59755
0.02959,4.75156,728.3823,114.41449
0.02248,9.33524,313.67351,27.72561
0.02692,6.93922,672.65486,513.58858
0.02844,9.51322,900.72,78.65998
0.02552,5.54455,301.55395,264.30375
0.02115,5.02347,262.43578,933.24902
0.02791,1.03267,359.52214,368.87736
0.00034,3.47768,705.64808,733.6052
0.02706,0.5142,332.63027,282.82846
0.02128,6.13985,779.51113,639.64473
0.00837,8.01568,41.0061,71.91107
0.01096,1.24301,146.11491,729.0853
0.02054,3.72149,914.7506,859.5488
0.00233,8.54893,253.27848,51.64277
0.02023,5.32175,354.95801,432.40382
0.0121,1.04346,129.01646,69.41921
0.02922,5.14626,367.67028,905.8573
0.0092,1.53298,19.85789,458.5682
0.01718,5.26358,256.83982,36.96869
0.02448,1.64329,52.46834,182.5863
0.02066,1.00146,858.04751,349.017
0.00341,7.72564,996.39621,556.3898
0.02075,7.59571,504.48467,716.54417
0.02897,8.83008,65.60162,338.02733
0.00272,9.09969,558.97211,623.71298
0.01388,9.08806,325.14745,402.88806
0.00128,6.02373,426.27868,793.62133
0.00295,8.25042,621.07067,867.04009
0.00727,5.67754,312.16258,774.94808
0.00195,9.50288,491.46943,426.88056
0.01699,2.25536,973.40751,577.65776
0.02302,4.67274,781.75292,894.55999
0.00445,3.5569,778.29822,898.69042
0.00268,8.64419,792.42443,170.02262
0.017,3.24637,840.01648,244.32421
0.02253,4.15517,845.17764,300.31393
0.01661,3.16795,642.82794,221.56519
0.025,0.8175,570.6753,912.65947
0.01789,2.96397,813.58702,32.91964
0.02715,6.96669,917.41529,417.55579
0.02524,4.73234,2.41805,459.50818
0.00228,7.91128,557.43815,404.9613
0.00417,7.44303,649.9769,925.96662
0.02982,3.14216,862.86378,230.93034
0.01301,6.46747,955.52873,714.93228
0.02265,2.60494,490.75641,653.55754
0.02452,5.37891,927.74168,588.48529
0.00701,7.32739,607.62084,500.18023
0.01272,1.34622,871.12054,183.74791
0.02143,8.39952,238.55985,206.79354
0.02988,8.8519,457.99512,157.32295
0.00513,1.46073,564.85813,146.41271
0.02389,9.45662,543.15151,72.65189
0.0101,8.32458,650.63625,483.03868
0.02783,7.18912,978.82584,591.88694
0.02325,3.10165,673.81874,232.32134
0.00181,1.70067,591.59155,29.7652
0.01001,5.93981,160.05865,93.53648
0.02633,5.1607,401.37193,102.31738
0.00301,3.85039,345.57213,725.33801
0.02912,3.76698,895.21753,584.02208
0.01712,3.89083,8.9048,954.75572
0.01557,6.11995,716.96533,476.3319
0.00259,4.37741,279.37974,258.51449
0.02764,0.23344,788.60461,90.41276
0.01922,8.38149,909.34481,815.34298
0.01302,7.76979,418.2672,596.43239
0.00386,5.03985,786.3274,758.54009
0.00892,8.41477,986.4759,163.09909
0.01161,4.41587,717.57867,491.16961
0.00811,4.87005,597.86923,355.70545
0.01871,9.14202,445.69587,701.49822
0.02014,9.69702,630.11793,81.6359
0.01832,4.80783,71.57415,311.23445
0.0262,8.79073,226.16455,732.26997
0.00797,9.60179,23.77491,624.64644
0.02759,6.94459,21.13272,21.22394
0.01396,8.50177,15.68731,718.6089
0.02672,2.35447,374.51766,809.21852
0.01792,6.15289,464.89014,489.1829
0.01013,2.68299,816.76254,527.24481
0.01576,9.25337,474.51792,175.63427
0.0254,1.86665,594.3505,292.70234
0.00167,3.17935,329.30938,979.69149
0.01732,4.30703,453.16917,888.04447
0.02435,4.64567,603.00487,219.66839
0.01255,2.47679,212.51023,312.03502
0.02135,8.94578,139.10087,869.32584
0.01123,2.04722,984.21571,915.58397
0.01572,9.84185,49.22462,738.74906
0.01866,3.66132,658.9357,551.98278
0.02309,1.05966,35.09244,813.97431
0.01768,0.996,400.3087,649.27339
0.00684,0.97822,394.97712,424.3495
0.0045,7.16462,669.1787,403.08467
0.00717,7.56842,156.65145,613.42195
0.01571,3.71972,509.65439,238.65974
0.01353,9.35668,921.19874,503.5782
0.01588,4.63898,56.67489,555.38316
0.02102,5.87765,628.26556,691.54236
0.00614,1.06849,814.86796,689.29645
0.02285,0.78666,907.00022,501.95391
0.02477,9.46379,975.30213,870.04405
0.01143,1.09786,451.8962,554.14634
0.01539,1.57707,429.68941,455.21133
0.01824,8.57348,115.96667,263.22485
0.02111,3.88387,625.48631,150.65201
0.02038,5.74866,889.59967,628.94071
0.0151,9.94121,322.02868,274.55012
0.01694,7.79986,970.70708,84.29324
0.01931,8.44825,953.09393,629.1977
0.00876,0.70325,767.13505,124.36437
0.01424,3.07059,880.18444,6.53351
0.01225,3.87591,769.03739,322.83869
0.02951,1.36242,79.38061,899.86913
0.02182,5.05643,27.74502,442.70695
0.01859,3.86805,946.75412,981.1665
0.00117,5.46969,434.70592,516.73252
0.01324,7.84968,370.05414,627.207
0.0271,3.18298,691.03588,735.81883
0.02537,6.28707,206.05561,130.73105
0.00153,6.55934,305.6598,361.93831
0.02174,5.88851,546.12288,379.30217
0.01443,8.93371,413.19804,922.27334
0.02203,9.52809,274.92871,807.57235
0.02029,0.91991,882.31303,978.10546
0.01648,7.874,261.61989,456.42998
